layout_id,src_id,dst_id,edge_type,contact_axis,gap_m,shared_span_m,physical_floor
BB_03,27,138,bbox_spatial_adjacency,y,0.2,2.6,0
BB_03,28,29,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,28,126,bbox_spatial_adjacency,x,0.1,4.76,2
BB_03,29,126,bbox_spatial_adjacency,x,0.1,4.66,2
BB_03,29,140,bbox_spatial_adjacency,y,0.2,2.6,2
BB_03,30,37,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,30,40,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,30,120,bbox_spatial_adjacency,x,0.1,4.35,0
BB_03,30,122,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,31,34,bbox_spatial_adjacency,x,0.2,4.35,1
BB_03,31,36,bbox_spatial_adjacency,y,0.2,2.3818,1
BB_03,31,123,bbox_spatial_adjacency,x,0.1,4.35,1
BB_03,31,125,bbox_spatial_adjacency,y,0.2,2.3818,1
BB_03,32,33,bbox_spatial_adjacency,x,0.2,5.0143,2
BB_03,32,35,bbox_spatial_adjacency,x,0.2,12.0,2
BB_03,32,39,bbox_spatial_adjacency,x,0.2,6.7857,2
BB_03,32,128,bbox_spatial_adjacency,y,0.2,0.9833,2
BB_03,32,140,bbox_spatial_adjacency,y,0.2,0.6278,2
BB_03,33,39,bbox_spatial_adjacency,y,0.2,1.7722,2
BB_03,33,126,bbox_spatial_adjacency,x,0.1,5.0143,2
BB_03,33,128,bbox_spatial_adjacency,y,0.2,1.7722,2
BB_03,34,36,bbox_spatial_adjacency,x,0.2,7.45,1
BB_03,34,38,bbox_spatial_adjacency,x,0.2,4.35,1
BB_03,34,41,bbox_spatial_adjacency,x,0.2,7.45,1
BB_03,34,125,bbox_spatial_adjacency,y,0.2,1.0909,1
BB_03,35,50,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,35,55,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,35,128,bbox_spatial_adjacency,y,0.2,3.7444,2
BB_03,36,123,bbox_spatial_adjacency,x,0.1,7.45,1
BB_03,36,139,bbox_spatial_adjacency,y,0.2,2.3818,1
BB_03,37,40,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,37,42,bbox_spatial_adjacency,x,0.2,2.18,0
BB_03,37,43,bbox_spatial_adjacency,x,0.2,4.76,0
BB_03,37,44,bbox_spatial_adjacency,x,0.2,4.66,0
BB_03,37,122,bbox_spatial_adjacency,y,0.2,1.0909,0
BB_03,38,41,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,38,46,bbox_spatial_adjacency,x,0.2,4.35,1
BB_03,38,125,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,39,126,bbox_spatial_adjacency,x,0.1,6.7857,2
BB_03,39,140,bbox_spatial_adjacency,y,0.2,1.7722,2
BB_03,40,120,bbox_spatial_adjacency,x,0.1,7.45,0
BB_03,40,138,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,41,48,bbox_spatial_adjacency,x,0.2,7.45,1
BB_03,42,43,bbox_spatial_adjacency,y,0.2,3.0273,0
BB_03,42,45,bbox_spatial_adjacency,x,0.2,2.18,0
BB_03,42,122,bbox_spatial_adjacency,y,0.2,3.0273,0
BB_03,43,44,bbox_spatial_adjacency,y,0.2,3.0273,0
BB_03,43,45,bbox_spatial_adjacency,x,0.2,2.6343,0
BB_03,43,51,bbox_spatial_adjacency,x,0.2,1.9257,0
BB_03,44,51,bbox_spatial_adjacency,x,0.2,4.66,0
BB_03,45,47,bbox_spatial_adjacency,x,0.2,5.0143,0
BB_03,45,51,bbox_spatial_adjacency,y,0.2,1.7722,0
BB_03,45,122,bbox_spatial_adjacency,y,0.2,1.7722,0
